true_class,sample_index,filename_vgg,outcome_vgg,pred_class_vgg,pred_prob_malignant_vgg,panel_path_vgg,outcome_resnet,pred_class_resnet,pred_prob_malignant_resnet,panel_path_resnet,outcome_dense,pred_class_dense,pred_prob_malignant_dense,panel_path_dense
benign,1,1.jpg,TN,benign,0.2566973567008972,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_01_panel.png,TN,benign,0.4540946185588836,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_01_panel.png,TN,benign,0.3682563900947571,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_01_panel.png
benign,2,10.jpg,TN,benign,0.1852469444274902,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_02_panel.png,TN,benign,0.4482299983501434,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_02_panel.png,TN,benign,0.0710101649165153,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_02_panel.png
benign,3,1003.jpg,TN,benign,0.1987635046243667,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_03_panel.png,TN,benign,0.4471703469753265,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_03_panel.png,TN,benign,0.0083321873098611,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_03_panel.png
benign,4,1006.jpg,TN,benign,0.1004769206047058,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_04_panel.png,TN,benign,0.4451238512992859,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_04_panel.png,TN,benign,0.1397361606359481,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_04_panel.png
benign,5,1013.jpg,TN,benign,0.0495776087045669,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_05_panel.png,TN,benign,0.4447807669639587,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_05_panel.png,TN,benign,0.0061293831095099,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_05_panel.png
benign,6,1018.jpg,TN,benign,0.4669018387794494,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_06_panel.png,TN,benign,0.449203610420227,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_06_panel.png,TN,benign,0.1037357002496719,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_06_panel.png
benign,7,1019.jpg,FP,malignant,0.7749680280685425,/content/drive/MyDrive/GradCam/OldModels/vgg16/FP/benign/benign_07_panel.png,TN,benign,0.4520721733570099,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_07_panel.png,FP,malignant,0.8301838636398315,/content/drive/MyDrive/GradCam/OldModels/densenet/FP/benign/benign_07_panel.png
benign,8,1023.jpg,TN,benign,0.1252189427614212,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_08_panel.png,TN,benign,0.446830153465271,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_08_panel.png,TN,benign,0.0178571995347738,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_08_panel.png
benign,9,1025.jpg,FP,malignant,0.9013270735740662,/content/drive/MyDrive/GradCam/OldModels/vgg16/FP/benign/benign_09_panel.png,TN,benign,0.4544057846069336,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_09_panel.png,FP,malignant,0.6615463495254517,/content/drive/MyDrive/GradCam/OldModels/densenet/FP/benign/benign_09_panel.png
benign,10,1029.jpg,TN,benign,0.1224172115325927,/content/drive/MyDrive/GradCam/OldModels/vgg16/TN/benign/benign_10_panel.png,TN,benign,0.4494121670722961,/content/drive/MyDrive/GradCam/OldModels/resnet/TN/benign/benign_10_panel.png,TN,benign,0.1150848120450973,/content/drive/MyDrive/GradCam/OldModels/densenet/TN/benign/benign_10_panel.png
malignant,1,1.jpg,TP,malignant,0.9552446603775024,/content/drive/MyDrive/GradCam/OldModels/vgg16/TP/malignant/malignant_01_panel.png,FN,benign,0.4563507735729217,/content/drive/MyDrive/GradCam/OldModels/resnet/FN/malignant/malignant_01_panel.png,TP,malignant,0.9682148694992064,/content/drive/MyDrive/GradCam/OldModels/densenet/TP/malignant/malignant_01_panel.png
