true_class,pred_class,pred_prob_malignant,pred_label,outcome,sample_index,filename,full_path,last_conv_layer,original_path,heatmap_path,overlay_path,panel_path
benign,malignant,0.8764914870262146,1,FP,1,1.jpg,/content/drive/MyDrive/kaggle/test/benign/1.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_01_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_01_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_01_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_01_panel.png
benign,malignant,0.8744926452636719,1,FP,2,10.jpg,/content/drive/MyDrive/kaggle/test/benign/10.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_02_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_02_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_02_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_02_panel.png
benign,malignant,0.8751214146614075,1,FP,3,1003.jpg,/content/drive/MyDrive/kaggle/test/benign/1003.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_03_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_03_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_03_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_03_panel.png
benign,malignant,0.8744409084320068,1,FP,4,1006.jpg,/content/drive/MyDrive/kaggle/test/benign/1006.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_04_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_04_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_04_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_04_panel.png
benign,malignant,0.8735664486885071,1,FP,5,1013.jpg,/content/drive/MyDrive/kaggle/test/benign/1013.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_05_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_05_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_05_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_05_panel.png
benign,malignant,0.8765247464179993,1,FP,6,1018.jpg,/content/drive/MyDrive/kaggle/test/benign/1018.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_06_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_06_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_06_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_06_panel.png
benign,malignant,0.8762739896774292,1,FP,7,1019.jpg,/content/drive/MyDrive/kaggle/test/benign/1019.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_07_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_07_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_07_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_07_panel.png
benign,malignant,0.8757893443107605,1,FP,8,1023.jpg,/content/drive/MyDrive/kaggle/test/benign/1023.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_08_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_08_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_08_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_08_panel.png
benign,malignant,0.878299355506897,1,FP,9,1025.jpg,/content/drive/MyDrive/kaggle/test/benign/1025.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_09_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_09_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_09_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_09_panel.png
benign,malignant,0.8758749961853027,1,FP,10,1029.jpg,/content/drive/MyDrive/kaggle/test/benign/1029.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_10_original.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_10_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_10_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/FP/benign/benign_10_panel.png
malignant,malignant,0.8758745193481445,1,TP,1,1.jpg,/content/drive/MyDrive/kaggle/test/malignant/1.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_01_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_01_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_01_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_01_panel.png
malignant,malignant,0.8836879134178162,1,TP,2,1003.jpg,/content/drive/MyDrive/kaggle/test/malignant/1003.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_02_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_02_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_02_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_02_panel.png
malignant,malignant,0.8817729949951172,1,TP,3,1005.jpg,/content/drive/MyDrive/kaggle/test/malignant/1005.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_03_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_03_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_03_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_03_panel.png
malignant,malignant,0.8746158480644226,1,TP,4,1007.jpg,/content/drive/MyDrive/kaggle/test/malignant/1007.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_04_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_04_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_04_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_04_panel.png
malignant,malignant,0.8774207830429077,1,TP,5,1009.jpg,/content/drive/MyDrive/kaggle/test/malignant/1009.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_05_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_05_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_05_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_05_panel.png
malignant,malignant,0.8758882880210876,1,TP,6,1012.jpg,/content/drive/MyDrive/kaggle/test/malignant/1012.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_06_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_06_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_06_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_06_panel.png
malignant,malignant,0.8764915466308594,1,TP,7,1019.jpg,/content/drive/MyDrive/kaggle/test/malignant/1019.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_07_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_07_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_07_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_07_panel.png
malignant,malignant,0.8793728351593018,1,TP,8,1022.jpg,/content/drive/MyDrive/kaggle/test/malignant/1022.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_08_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_08_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_08_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_08_panel.png
malignant,malignant,0.8807631134986877,1,TP,9,1026.jpg,/content/drive/MyDrive/kaggle/test/malignant/1026.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_09_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_09_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_09_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_09_panel.png
malignant,malignant,0.8777628540992737,1,TP,10,1027.jpg,/content/drive/MyDrive/kaggle/test/malignant/1027.jpg,conv5_block3_out,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_10_original.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_10_heatmap.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_10_overlay.png,/content/drive/MyDrive/GradCam/OPTResnet/TP/malignant/malignant_10_panel.png
