model,true_class,pred_class,pred_prob_malignant,pred_label,outcome,sample_index,filename,full_path,last_conv_layer,original_path,heatmap_path,overlay_path,panel_path
vgg16,benign,benign,0.23071444034576416,0,TN,1,1.jpg,/content/drive/MyDrive/kaggle/test/benign/1.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_01_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_01_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_01_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_01_panel.png
vgg16,benign,benign,0.09048106521368027,0,TN,2,10.jpg,/content/drive/MyDrive/kaggle/test/benign/10.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_02_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_02_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_02_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_02_panel.png
vgg16,benign,benign,0.11600207537412643,0,TN,3,1003.jpg,/content/drive/MyDrive/kaggle/test/benign/1003.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_03_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_03_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_03_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_03_panel.png
vgg16,benign,benign,0.0553218275308609,0,TN,4,1006.jpg,/content/drive/MyDrive/kaggle/test/benign/1006.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_04_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_04_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_04_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_04_panel.png
vgg16,benign,benign,0.040724050253629684,0,TN,5,1013.jpg,/content/drive/MyDrive/kaggle/test/benign/1013.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_05_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_05_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_05_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_05_panel.png
vgg16,benign,benign,0.35302406549453735,0,TN,6,1018.jpg,/content/drive/MyDrive/kaggle/test/benign/1018.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_06_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_06_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_06_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_06_panel.png
vgg16,benign,malignant,0.5869457125663757,1,FP,7,1019.jpg,/content/drive/MyDrive/kaggle/test/benign/1019.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_07_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_07_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_07_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_07_panel.png
vgg16,benign,benign,0.054059021174907684,0,TN,8,1023.jpg,/content/drive/MyDrive/kaggle/test/benign/1023.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_08_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_08_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_08_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_08_panel.png
vgg16,benign,malignant,0.7247017621994019,1,FP,9,1025.jpg,/content/drive/MyDrive/kaggle/test/benign/1025.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_09_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_09_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_09_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/FP/benign/benign_09_panel.png
vgg16,benign,benign,0.06595119088888168,0,TN,10,1029.jpg,/content/drive/MyDrive/kaggle/test/benign/1029.jpg,block5_conv3,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_10_original.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_10_heatmap.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_10_overlay.png,/content/drive/MyDrive/GradCam/OPTvgg16andDensenet/vgg16/TN/benign/benign_10_panel.png
